"","ID","Gender","Other.Gender","Age","Nationality","College","Year.of.Study","Level.of.Study","Subject","Specialist","Voluntary","Statistics","Mathematics","Highest.Qual","Other.Qual","Qual.Grade","Anxiety.Level","Anxiety.Aspects","Anxiety.Effects","Effects.Aspects","Anxiety.Prevent","Prevent.Aspects","SE1","SE2","SE3","SE4","SE5","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Course","Time","Reduce.Anxiety","End.Type","Effect.Had","SE.mean","SE","SA.mean","SA","SA.Subscale1.mean","SA.Subscale1","SA.Subscale2.mean","SA.Subscale2","SA.Subscale3.mean","SA.Subscale3","Exam","GPA","Grade"
"30",76,"Male",NA,"19","British/Irish","STEM","Year 2","Pre-honours","Molecular and Cellular Biology","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",2,"It just doesn&#039;t click in my head the same way as calculus for example does. It&#039;s not very intuitive.","No effect",NA,"Yes","Not revising",3,3,4,2,4,4,1,4,3,4,4,2,2,1,1,3,3,4,2,2,4,1,1,4,3,1,1,4,"Course 1","Start",NA,NA,NA,3.2,16,2.565217391,59,2.25,18,2.272727273,25,4,16,69.5,15,"B3"
"31",133.5,"Male",NA,"20","Other European","STEM","Year 1","Pre-honours","Finance &amp; Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",1,NA,"No effect",NA,"No",NA,3,3,3,3,3,3,1,1,1,1,1,1,3,1,4,1,1,2,1,2,1,1,1,1,1,1,4,1,"Course 1","Start",NA,NA,NA,3,15,1.52173913,35,2.5,20,1,11,1,4,51.5,13,"C2"
"32",222,"Male",NA,NA,"British/Irish","STEM","Year 1","Pre-honours","Mathematics and Economics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",1,NA,"Dont know",NA,"No",NA,3,3,3,4,2,2,2,3,1,2,2,2,2,1,1,2,2,3,3,1,NA,2,2,3,2,2,2,3,"Course 1","Start",NA,NA,NA,3,15,2.045454545,47.04545455,1.75,14,2,22,3,12,62,16,"B2"
"33",220.5,"Male",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Maths and Stats","Specialist","Voluntary","1","1","Higher_School & University",NA,"D",3,NA,"Dont know",NA,"Don't know",NA,3,4,4,4,3,4,2,3,3,3,4,5,5,3,5,5,4,4,3,3,3,4,3,2,3,3,1,1,"Course 1","Start",NA,NA,NA,3.6,18,3.304347826,76,3.5,28,3.545454545,39,2.25,9,48,9,"D3"
"34",51,"Female",NA,"19","British/Irish","STEM","Year 2","Pre-honours","Psychology","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"B",2,NA,"Decrease","further understanding","Yes","avoiding material",3,3,3,3,3,3,4,2,3,3,1,2,4,1,3,2,1,4,2,3,2,2,1,4,2,1,3,3,"Course 1","Start",NA,NA,NA,3,15,2.434782609,56,3,24,1.909090909,21,2.75,11,49,11,"D1"
"35",165.5,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",3,NA,"Decrease",NA,"Don't know",NA,3,3,3,3,3,4,3,3,2,3,3,3,5,1,4,3,2,4,2,5,2,3,2,3,2,3,4,2,"Course 1","Start",NA,NA,NA,3,15,2.956521739,68,3.875,31,2.454545455,27,2.5,10,36,10,"D2"
"36",283,"Male",NA,"19","Other European","STEM","Year 1","Pre-honours","Mathematics &amp; Statisics","Specialist","Voluntary","1","1","Higher_School & University","National School Leaving Exams (Maurita)","1 (The best)",2,"In our country nobody cares about anxiety. Anxiety is a perk of western civilisation","Dont know",NA,"Don't know",NA,4,2,3,1,3,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,"Course 1","Start",NA,NA,NA,2.6,13,1.391304348,32,1.75,14,1.181818182,13,1.25,5,82,20,"A3"
"37",230,NA,"nonbinary","18","British/Irish","STEM","Year 1","Pre-honours","Biochemistry","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",1,NA,"No effect",NA,"No",NA,3,2,4,3,3,1,1,3,3,1,1,2,2,1,3,1,2,1,1,2,2,1,1,2,1,1,1,1,"Course 1","Start",NA,NA,NA,3,15,1.52173913,35,1.75,14,1.181818182,13,2,8,89,22,"A1"
"38",292,"Male",NA,"20","British/Irish","Non-STEM","Year 3","Hounours","Political Science","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,NA,4,"I&#039;ve never really been any good at math so I just have a general sense of anxiety taking the course.","Increase","Having to do complex math","Yes","Maybe skipping lectures",3,3,3,3,3,5,3,5,5,1,2,4,5,1,5,3,4,5,2,5,5,1,1,2,3,5,5,3,"Course 1","Start",NA,NA,NA,3,15,3.47826087,80,5,40,2.272727273,25,3.75,15,23,7,"E2"
"39",201.5,"Female",NA,"18","British/Irish","STEM","Year 1","Pre-honours","accountancy/maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",3,NA,"Decrease",NA,"Yes","skippping lectures",2,2,4,2,3,3,2,3,3,3,3,4,5,2,2,2,4,3,3,5,3,2,3,2,3,2,3,2,"Course 1","Start",NA,NA,NA,2.6,13,2.913043478,67,3.25,26,2.818181818,31,2.5,10,45,12,"C3"
"40",127,"Male",NA,"20","British/Irish","STEM","Year 1","Pre-honours","Biology, Science fundamentals, Statistics","Specialist","Voluntary","1","0","Higher_School & University",NA,"B",3,"Knowing when to use certain formulae, distributions and methods in the right scenario.","Decrease","a more academic explanation of statistics, in my mind, will decrease my overall worry of statistic style problems.","No",NA,3,4,4,4,3,4,3,1,2,4,2,5,4,1,3,1,4,2,2,4,1,1,3,2,2,2,3,1,"Course 1","Start",NA,NA,NA,3.6,18,2.47826087,57,3,24,2.545454545,28,1.25,5,65,17,"B1"
"41",234.5,"Male",NA,"18","Other European","STEM","Year 1","Pre-honours","Computing Science","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",2,"Proofs","No effect","Proofs","No",NA,2,2,3,3,2,4,2,3,4,2,4,4,5,4,5,1,3,5,2,5,3,1,4,2,3,4,5,2,"Course 1","Start",NA,NA,NA,2.4,12,3.347826087,77,4.625,37,2.727272727,30,2.5,10,82,20,"A3"
"42",100,"Male",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",3,"There isn&#039;t a particular part that I feel anxious about but I have never done a statistics course before so it is new to me.","Dont know",NA,"No",NA,3,2,3,3,3,3,1,4,2,3,1,4,4,1,3,3,2,3,2,3,4,1,1,4,1,2,3,2,"Course 1","Start",NA,NA,NA,2.8,14,2.47826087,57,2.875,23,1.818181818,20,3.5,14,55,15,"B3"
"43",298,"Female",NA,"19","Other","Non-STEM","Year 2","Pre-honours","International study abroad student","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",2,"I am not too anxious because I have always enjoyed maths and it usually doesn&#039;t give me a hard time.","Increase","I am most anxious about the grading style. It is scary to have 80% of your grade based on one exam.","No",NA,3,3,3,4,3,4,3,2,2,3,2,4,5,3,5,3,2,2,1,5,3,2,3,4,3,2,5,3,"Course 1","Start",NA,NA,NA,3.2,16,3.086956522,71,3.75,30,2.636363636,29,3,12,48.5,9,"D3"
"44",2.5,"Male",NA,"22+","British/Irish","STEM","Year 1","Pre-honours","Software Engineering","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"Diploma of Higher Education",1,NA,"No effect",NA,"No",NA,3,3,3,3,3,3,2,2,2,3,1,2,4,1,4,3,3,3,2,3,3,1,2,2,2,2,2,2,"Course 1","Start",NA,NA,NA,3,15,2.347826087,54,2.875,23,2,22,2.25,9,37.5,6,"E3"
"45",231,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Geography","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",3,"It has been a while since I have done maths so finding it hard to get back into it","Dont know","How infuriating the lecturers are","Yes","skipping lectures and seeing the video at home (maybe)",2,3,3,2,2,1,4,4,3,3,4,2,3,3,4,3,4,3,3,4,3,3,2,3,4,3,3,3,"Course 1","Start",NA,NA,NA,2.4,12,3.130434783,72,3,24,3.181818182,35,3.25,13,54.5,15,"B3"
"46",150.5,"Male",NA,"19","Other European","STEM","Year 1","Pre-honours","Maths and Finance","Specialist","Voluntary","0","1","Higher_School & University",NA,"B",1,NA,"No effect",NA,"No",NA,4,3,4,3,3,2,2,1,1,2,1,1,2,1,3,1,2,3,3,2,2,1,2,1,1,2,2,1,"Course 1","Start",NA,NA,NA,3.4,17,1.695652174,39,2.125,17,1.545454545,17,1.25,5,56,15,"B3"
"47",158.5,"Female",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Finance and Statistics","Specialist","Voluntary","1","0","Higher_School & University",NA,"C",3,"Proofs and performing in exam","Dont know",NA,"Yes","not wanting to revise as will realise how little i know etc.",3,3,3,3,3,4,2,5,3,4,3,3,5,2,4,2,3,4,2,5,5,2,3,5,2,2,3,5,"Course 1","Start",NA,NA,NA,3,15,3.391304348,78,3.75,30,2.545454545,28,5,20,30,9,"D3"
"48",184,"Male",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",3,"Remembering what formula applies to each question and what the question is asking me.","Decrease","Any part which I feel I&#039;m getting better at.  Questions I&#039;m getting correct","No",NA,4,3,4,3,3,4,1,1,3,4,3,NA,4,1,4,3,3,4,3,2,1,4,4,3,3,1,2,1,"Course 1","Start",NA,NA,NA,3.4,17,2.681818182,61.68181818,3,24,2.9,31.9,1.5,6,61.5,16,"B2"
"49",183,"Male",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"Using the incorrect formula and understanding the fundamentals.","No effect","N/A","No",NA,4,4,4,3,4,3,2,1,2,1,1,3,3,1,3,3,2,1,4,2,4,1,1,2,5,1,2,1,"Course 1","Start",NA,NA,NA,3.8,19,2.130434783,49,2.125,17,2.181818182,24,2,8,67.5,18,"A5"
"50",271.5,"Female",NA,"20","Other European","STEM","Year 1","Pre-honours","Computing Science","Non-Specialist","Voluntary","0","0","Higher_School & University","Vysvedcenie o maturitnej skuske","1",1,NA,"Increase","its fine so far but i feel like in a few weeks ill have no idea whats going on","No",NA,4,2,4,2,3,4,3,4,1,1,1,2,2,1,4,1,2,5,3,4,2,1,1,2,1,2,5,1,"Course 1","Start",NA,NA,NA,3,15,2.304347826,53,3.375,27,1.545454545,17,2.25,9,87.5,17,"B1"
"51",197.5,"Female",NA,"18","British/Irish","STEM","Year 1","Pre-honours","Mathematics and Accounting","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"I have never studied any form of statistics before so the learning of a very new and different subject appears daunting at first.","Decrease","As I go through the course and learn more, I hope to understand the concept and different ideas of statistics.","No",NA,3,3,4,3,3,3,2,2,2,2,1,3,3,2,3,1,2,3,3,2,1,1,2,1,1,2,2,1,"Course 1","Start",NA,NA,NA,3.2,16,1.956521739,45,2.5,20,1.818181818,20,1.25,5,73.5,17,"B1"
"52",39,"Male",NA,"17","British/Irish","STEM","Year 1","Pre-honours","Finance and Mathematics","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",2,"Never studied the subject in great detail before, initially found the verbose nature hard to get used to.","Decrease","Lecturers being able to explain concepts well, reading and understanding the subject more.","Yes","Skipping some lectures",4,3,4,4,3,2,1,2,2,2,3,3,4,1,3,2,4,2,2,1,3,2,1,2,2,1,1,2,"Course 1","Start",NA,NA,NA,3.6,18,2.086956522,48,2,16,2.090909091,23,2.25,9,NA,NA,NA
"53",77,"Male",NA,"19","British/Irish","STEM","Year 1","Pre-honours","Maths","Specialist","Voluntary","0","1","Higher_School & University",NA,"A",1,NA,"No effect",NA,"No",NA,3,2,4,3,3,2,2,1,1,2,1,2,4,1,4,1,1,2,1,3,1,1,1,1,1,1,3,2,"Course 1","Start",NA,NA,NA,3,15,1.695652174,39,2.5,20,1.272727273,14,1.25,5,52,13,"C2"
"54",59,"Male",NA,"19","British/Irish","Non-STEM","Year 2","Pre-honours","Economics and Politics","Non-Specialist","Voluntary","0","0","Higher_School & University",NA,"A",1,NA,"Dont know",NA,"No",NA,4,3,4,3,4,4,2,4,4,1,1,2,2,1,1,1,2,4,NA,3,3,1,2,1,1,1,1,1,"Course 1","Start",NA,NA,NA,3.6,18,1.954545455,44.95454545,2.5,20,1.4,15.4,2.25,9,71,18,"A5"
